2022-05-20 12:05:737 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:677 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (d6da6e0e478e4486e9fd727fc055bf38)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:747 INFO  HomePage :36 - Clicking on SearchCars link[[ChromeDriver: chrome on WINDOWS (d6da6e0e478e4486e9fd727fc055bf38)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 12:05:247 INFO  NewAndUsedCarSearchPage :45 - Verifying New Page Message [[ChromeDriver: chrome on WINDOWS (d6da6e0e478e4486e9fd727fc055bf38)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-20 12:05:327 INFO  NewAndUsedCarSearchPage :51 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (d6da6e0e478e4486e9fd727fc055bf38)] -> xpath: //select[@id='makes']]
2022-05-20 12:05:442 INFO  NewAndUsedCarSearchPage :57 - Selecting Model Of Car [[ChromeDriver: chrome on WINDOWS (d6da6e0e478e4486e9fd727fc055bf38)] -> xpath: //select[@id='models']]
2022-05-20 12:05:507 INFO  NewAndUsedCarSearchPage :62 - Selecting Location Of Car [[ChromeDriver: chrome on WINDOWS (d6da6e0e478e4486e9fd727fc055bf38)] -> xpath: //select[@id='locations']]
2022-05-20 12:05:566 INFO  NewAndUsedCarSearchPage :68 - Selecting Price Of Car [[ChromeDriver: chrome on WINDOWS (d6da6e0e478e4486e9fd727fc055bf38)] -> xpath: //select[@id='priceTo']]
2022-05-20 12:05:880 INFO  NewAndUsedCarSearchPage :74 - Checking If Searched Criteria Matches[[ChromeDriver: chrome on WINDOWS (d6da6e0e478e4486e9fd727fc055bf38)] -> id: search-submit]
2022-05-20 12:05:571 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:760 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (766f01ef46b264ef6997d18b045d6696)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:821 INFO  HomePage :36 - Clicking on SearchCars link[[ChromeDriver: chrome on WINDOWS (766f01ef46b264ef6997d18b045d6696)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 12:05:937 INFO  NewAndUsedCarSearchPage :45 - Verifying New Page Message [[ChromeDriver: chrome on WINDOWS (766f01ef46b264ef6997d18b045d6696)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-20 12:05:96 INFO  NewAndUsedCarSearchPage :51 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (766f01ef46b264ef6997d18b045d6696)] -> xpath: //select[@id='makes']]
2022-05-20 12:05:26 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:419 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (d4c2bb9d704672a0d19335b3fca71fc6)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:487 INFO  HomePage :36 - Clicking on SearchCars link[[ChromeDriver: chrome on WINDOWS (d4c2bb9d704672a0d19335b3fca71fc6)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 12:05:908 INFO  NewAndUsedCarSearchPage :45 - Verifying New Page Message [[ChromeDriver: chrome on WINDOWS (d4c2bb9d704672a0d19335b3fca71fc6)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-20 12:05:17 INFO  NewAndUsedCarSearchPage :51 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (d4c2bb9d704672a0d19335b3fca71fc6)] -> xpath: //select[@id='makes']]
2022-05-20 12:05:928 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:776 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (c06d3974e9547a81f2bb98930c3eafc6)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:17 INFO  HomePage :36 - Clicking on SearchCars link[[ChromeDriver: chrome on WINDOWS (c06d3974e9547a81f2bb98930c3eafc6)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 12:05:248 INFO  NewAndUsedCarSearchPage :45 - Verifying New Page Message [[ChromeDriver: chrome on WINDOWS (c06d3974e9547a81f2bb98930c3eafc6)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-20 12:05:383 INFO  NewAndUsedCarSearchPage :51 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (c06d3974e9547a81f2bb98930c3eafc6)] -> xpath: //select[@id='makes']]
2022-05-20 12:05:334 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:320 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (3f2fd462a629172c41da12779598e197)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:383 INFO  HomePage :36 - Clicking on SearchCars link[[ChromeDriver: chrome on WINDOWS (3f2fd462a629172c41da12779598e197)] -> xpath: //a[contains(text(),'Search Cars')]]
